CDTB_DOC	Sentence_ID	Directionality	Causal_Type	Exp/Imp	Arg1_Tense	Arg2_Tense
001.xml	14	Reason-Effect	Purpose	Explicit	Present	Past
005.xml	12	Effect-Reason	Purpose	Explicit	Present	Present
008.xml	3	Reason-Effect	Purpose	Explicit	Present	Past
009.xml	2	Reason-Effect	Purpose	Explicit	Present	Past
009.xml	16	Effect-Reason	Purpose	Explicit	Past	Past
010.xml	4	Effect-Reason	Purpose	Explicit	Past	Present
010.xml	6	Reason-Effect	Purpose	Explicit	Present	Present
024.xml	4	Reason-Effect	Purpose	Explicit	Present	Past
024.xml	3	Reason-Effect	Purpose	Explicit	Present	Future
038.xml	4	Reason-Effect	Purpose	Explicit	Present	Present
042.xml	2	Reason-Effect	Purpose	Explicit	Present	Future
042.xml	4	Reason-Effect	Purpose	Explicit	Present	Past
043.xml	1	Reason-Effect	Purpose	Explicit	Present	Future
049.xml	4	Reason-Effect	Purpose	Explicit	Present	Past
049.xml	5	Effect-Reason	Purpose	Explicit	Present	Present
051.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
052.xml	3	Reason-Effect	Purpose	Explicit	Present	Present
056.xml	1	Reason-Effect	Purpose	Explicit	Present	Past
057.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
057.xml	2	Reason-Effect	Purpose	Explicit	Present	Past
061.xml	5	Reason-Effect	Purpose	Explicit	Present	Past
069.xml	1	Effect-Reason	Purpose	Explicit	Present	Future
069.xml	3	Reason-Effect	Purpose	Explicit	Present	Present
071.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
079.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
079.xml	2	Reason-Effect	Purpose	Explicit	Present	Future
079.xml	1	Reason-Effect	Purpose	Explicit	Present	Past
083.xml	1	Reason-Effect	Purpose	Explicit	Past	Present
088.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
096.xml	2	Reason-Effect	Purpose	Explicit	Present	Past
100.xml	8	Effect-Reason	Purpose	Explicit	Present	Present
107.xml	3	Effect-Reason	Purpose	Explicit	Future	Present
108.xml	2	Reason-Effect	Purpose	Explicit	Present	Future
112.xml	3	Effect-Reason	Purpose	Explicit	Present	Future
115.xml	3	Reason-Effect	Purpose	Explicit	Present	Past
115.xml	3	Effect-Reason	Purpose	Explicit	Present	Present
119.xml	1	Reason-Effect	Purpose	Explicit	Present	Past
121.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
127.xml	2	Effect-Reason	Purpose	Explicit	Future	Present
130.xml	1	Reason-Effect	Purpose	Explicit	Present	Past
134.xml	3	Effect-Reason	Purpose	Explicit	Future	Present
137.xml	5	Effect-Reason	Purpose	Explicit	Present	Present
137.xml	2	Effect-Reason	Purpose	Explicit	Future	Present
142.xml	4	Reason-Effect	Purpose	Explicit	Present	Future
143.xml	5	Effect-Reason	Purpose	Explicit	Past	Present
147.xml	4	Reason-Effect	Purpose	Explicit	Present	Past
147.xml	4	Reason-Effect	Purpose	Explicit	Present	Future
150.xml	3	Reason-Effect	Purpose	Explicit	Present	Present
154.xml	3	Reason-Effect	Purpose	Explicit	Present	Present
154.xml	6	Effect-Reason	Purpose	Explicit	Present	Present
155.xml	3	Effect-Reason	Purpose	Explicit	Present	Present
160.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
164.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
171.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
174.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
177.xml	6	Effect-Reason	Purpose	Explicit	Past	Present
180.xml	3	Reason-Effect	Purpose	Explicit	Present	Future
183.xml	2	Reason-Effect	Purpose	Explicit	Present	Past
189.xml	1	Reason-Effect	Purpose	Explicit	Past	Present
189.xml	6	Reason-Effect	Purpose	Explicit	Present	Present
192.xml	3	Reason-Effect	Purpose	Explicit	Present	Present
196.xml	5	Reason-Effect	Purpose	Explicit	Past	Present
197.xml	1	Reason-Effect	Purpose	Explicit	Future	Present
207.xml	4	Reason-Effect	Purpose	Explicit	Future	Present
217.xml	3	Effect-Reason	Purpose	Explicit	Past	Past
219.xml	3	Reason-Effect	Purpose	Explicit	Present	Past
225.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
229.xml	2	Reason-Effect	Purpose	Explicit	Present	Present
229.xml	2	Reason-Effect	Purpose	Explicit	Present	Past
231.xml	1	Reason-Effect	Purpose	Explicit	Present	Present
236.xml	2	Effect-Reason	Purpose	Explicit	Past	Present
240.xml	4	Reason-Effect	Purpose	Explicit	Past	Past
244.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
247.xml	1	Reason-Effect	Purpose	Explicit	Present	Past
249.xml	5	Effect-Reason	Purpose	Explicit	Past	Present
252.xml	6	Effect-Reason	Purpose	Explicit	Past	Present
254.xml	4	Effect-Reason	Purpose	Explicit	Present	Present
257.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
258.xml	7	Effect-Reason	Purpose	Explicit	Past	Present
259.xml	3	Reason-Effect	Purpose	Explicit	Present	Present
267.xml	2	Effect-Reason	Purpose	Explicit	Future	Present
271.xml	1	Effect-Reason	Purpose	Explicit	Future	Present
272.xml	1	Reason-Effect	Purpose	Explicit	Future	Future
274.xml	3	Effect-Reason	Purpose	Explicit	Present	Present
275.xml	3	Effect-Reason	Purpose	Explicit	Future	Present
275.xml	1	Reason-Effect	Purpose	Explicit	Future	Future
278.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
281.xml	10	Effect-Reason	Purpose	Explicit	Present	Present
282.xml	4	Effect-Reason	Purpose	Explicit	Present	Present
284.xml	5	Effect-Reason	Purpose	Explicit	Past	Present
284.xml	4	Effect-Reason	Purpose	Explicit	Past	Present
285.xml	3	Effect-Reason	Purpose	Explicit	Past	Present
290.xml	6	Reason-Effect	Purpose	Explicit	Past	Present
290.xml	7	Reason-Effect	Purpose	Explicit	Present	Present
291.xml	5	Reason-Effect	Purpose	Explicit	Present	Past
291.xml	3	Effect-Reason	Purpose	Explicit	Present	Present
292.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
292.xml	6	Effect-Reason	Purpose	Explicit	Present	Present
294.xml	6	Effect-Reason	Purpose	Explicit	Present	Present
307.xml	8	Effect-Reason	Purpose	Explicit	Present	Present
307.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
307.xml	2	Reason-Effect	Purpose	Explicit	Present	Future
400.xml	1	Reason-Effect	Purpose	Explicit	Present	Present
401.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
402.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
402.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
411.xml	1	Reason-Effect	Purpose	Explicit	Past	Present
424.xml	1	Reason-Effect	Purpose	Explicit	Present	Present
425.xml	1	Reason-Effect	Purpose	Explicit	Past	Present
427.xml	4	Effect-Reason	Purpose	Explicit	Present	Present
436.xml	3	Reason-Effect	Purpose	Explicit	Future	Present
438.xml	1	Reason-Effect	Purpose	Explicit	Past	Present
442.xml	4	Reason-Effect	Purpose	Explicit	Past	Past
442.xml	6	Effect-Reason	Purpose	Explicit	Present	Present
445.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
445.xml	1	Reason-Effect	Purpose	Explicit	Present	Past
447.xml	1	Effect-Reason	Purpose	Explicit	Future	Future
448.xml	1	Effect-Reason	Purpose	Explicit	Future	Future
448.xml	5	Effect-Reason	Purpose	Explicit	Present	Present
453.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
453.xml	4	Reason-Effect	Purpose	Explicit	Present	Present
505.xml	5	Reason-Effect	Purpose	Explicit	Present	Present
510.xml	1	Reason-Effect	Purpose	Explicit	Present	Past
518.xml	2	Effect-Reason	Purpose	Explicit	Past	Present
519.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
523.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
524.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
533.xml	5	Effect-Reason	Purpose	Explicit	Present	Present
533.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
533.xml	2	Effect-Reason	Purpose	Explicit	Past	Present
536.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
536.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
544.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
544.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
544.xml	1	Effect-Reason	Purpose	Explicit	Present	Future
548.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
548.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
548.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
549.xml	4	Effect-Reason	Purpose	Explicit	Present	Present
549.xml	1	Reason-Effect	Purpose	Explicit	Present	Future
590.xml	3	Effect-Reason	Purpose	Explicit	Present	Present
590.xml	1	Reason-Effect	Purpose	Explicit	Present	Future
592.xml	4	Reason-Effect	Purpose	Explicit	Present	Present
600.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
605.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
609.xml	1	Effect-Reason	Purpose	Explicit	Present	Present
615.xml	3	Reason-Effect	Purpose	Explicit	Present	Past
616.xml	1	Reason-Effect	Purpose	Explicit	Present	Present
616.xml	2	Effect-Reason	Purpose	Explicit	Present	Present
621.xml	2	Reason-Effect	Purpose	Explicit	Present	Past
624.xml	2	Effect-Reason	Purpose	Explicit	Past	Present
629.xml	2	Effect-Reason	Purpose	Explicit	Future	Present
630.xml	2	Reason-Effect	Purpose	Explicit	Present	Present
635.xml	1	Effect-Reason	Purpose	Explicit	Past	Present
635.xml	2	Reason-Effect	Purpose	Explicit	Present	Present
637.xml	3	Effect-Reason	Purpose	Explicit	Present	Future
638.xml	3	Effect-Reason	Purpose	Explicit	Future	Present
640.xml	3	Effect-Reason	Purpose	Explicit	Present	Present
643.xml	4	Reason-Effect	Purpose	Explicit	Present	Present
652.xml	3	Effect-Reason	Purpose	Explicit	Present	Present
654.xml	2	Reason-Effect	Purpose	Explicit	Present	Past
656.xml	5	Effect-Reason	Purpose	Explicit	Future	Present
